#,Артикул,Назва,Категорія,Ціна,Залишок,Продано,Виручка
1,1909,Шайба Макух,Прикормка / Пінотісто Макуха Планктон / Макуха ,12,81,17795,174958
2,1497,Монтаж Арбуз відві 2 гач 20г,Оснащення Монтаж / Готові монтажі,55,130,2624,122100
3,227,"Удилище WEIDA CARP Expert 3.75ib3,60м",Спінінги і вудки / Коропові вудочки,1160,3,84,99320
4,1302,Котушка HAIBAO FISHING J3-50FR (9+1 BB) з бейтранером,Катушки  / Карпові катушки,930,5,114,97220
5,2015,"Технопанктон CORONA флуоро""Чудо планктон"" Топлене Молоко",Прикормка / Пінотісто Макуха Планктон / Технопанктон ,50,120,1839,86146
6,605,"Тісто Cukk""puffi""midi 3-6мм 30гр Часник",Прикормка / Пінотісто Макуха Планктон / Пінотісто ,80,76,1141,84760
7,4639,Сигналізатор клювання механічний у підставку,Допоміжні снасті / Сигналізатори і Свінгера,80,83,1057,84560
8,2092,Набір Сигналізаторів SF23799,Допоміжні снасті / Сигналізатори і Свінгера,4130,2,18,67420
9,3188,Сигналізатор Carp Line TS TLI-07,Допоміжні снасті / Сигналізатори і Свінгера,260,9,250,61460
10,0199,"Прикорм ""БОМБА"" 1кг",Прикормка / Прикормка,42,130,1648,61156
11,1303,Котушка HAIBAO FISHING J3-60FR (9+1 BB) з бейтранером,Катушки  / Карпові катушки,940,4,66,59700
12,1858.41.86,"Вудилище Brain Apex карпове 3,60 3,5 Lbs 3-sec",Спінінги і вудки / Коропові вудочки,1580,3,40,59160
13,2209,Монтаж на толстолоба Silver carp донна,Оснащення Монтаж / Готові монтажі,180,22,433,58635
14,3041,Катушка  Weida DJ40A 3+1,Катушки  / Карпові катушки / Weida,670,2,90,55630
15,1483,Макушатнік Шар 30г,Оснащення Монтаж / Готові монтажі,55,105,1262,54650
16,1502,Монтаж на вудку Риболов,Оснащення Монтаж / Готові монтажі,45,15,1621,53440
17,2698,Льодоруб Житомирский,Зима / Льодобур,1650,1,34,50740
18,267,Підставка під вудочку  алюм,Допоміжні снасті / Підставки Рогачі Род-Поди / Підставка Триноги,48,11,1024,48702
19,604,"Тісто Cukk""puffi""midi 3-6мм 30гр Мед",Прикормка / Пінотісто Макуха Планктон / Пінотісто ,80,53,652,48460
20,2895,Катушка  Weida DJ30A 3+1,Катушки  / Карпові катушки / Weida,650,4,80,48370
21,1991,"Підставка під вудочку 0,85м помаранчеві",Допоміжні снасті / Підставки Рогачі Род-Поди / Підставка Триноги,36,14,1116,45424
