Полиця/категорія,#,Артикул,Назва,Ціна,Залишок,"Виручка,грн"
Херабуна / Оснащення,3,000566,"Оснастка фірмова Premium 6,3 #3,0",100,10,10600
Херабуна / Оснащення,4,000736,Конектор для поплавка 45°,15,9,7830
Спінінги і вудки / Спінінг,1,1180,Спінінг LEGEND CARP 360 з 3 частин,950,1,16900
Спінінги і вудки / Спінінг,2,1693.06.07,Спінінг  Favorit U1  702ML 2.13 4-16g  Fast,1275,1,9095
Спінінги і вудки / Спінінг,3,2755,Спінінг MicroStar 2.18 1-10g carbon IM12 AiFaima,1350,2,7780
AnviFishing / Макуха,1,3043,Макуха ПрофМонтаж 8 куб. асорт,50,49,30668
Туризм і відпочинок / Ліхтарі,1,1536,Ліхтарик налобний Strong Light сенсорний USB зарядка,540,6,30320
 FSHING MIX,1,319,Горох FSHING MIX Конопля 400г пет,35,13,10940
 FSHING MIX,2,318,Конопля Натуральна вар.  FSHING MIX 200гр,40,11,9610
 FSHING MIX,3,126,Кукурудза FSHING MIX Конопля 400г пет,30,7,7670
Оснащення Монтаж / Все для монтажу оснащення,1,1007,Стопор без упаковки під бойл,15,32,9810
Оснащення Монтаж / Все для монтажу оснащення,2,943,"Гума кругла синя 2,5 20м",70,29,9092
Оснащення Монтаж / Все для монтажу оснащення,3,634,Стопорки ESP  YELLOW HAIRSTOPS під бойл,15,32,7080
Спінінгова ловля  / Mepps,1,2712,"Блешня MEPPS  BLACK FURY 3 чорна пелюстка салат.кап 6,5г",148,5,11380
Спінінгова ловля  / Mepps,2,1078,Блешня MEPPS  BLACK FURY 3 чорна пелюстка оранж.капл,148,2,7396
Спінінгова ловля  / Mepps,3,1077,Блешня MEPPS Aglia Long Silver 2 7г,127,7,7172
Оснащення Монтаж / Гачки,1,77,Крючок Hayabusa H.SDE 198 BN №7(10 шт),60,8,11042
Оснащення Монтаж / Гачки,2,76,Крючок Hayabusa H.SDE 198 BN №6(10 шт),60,12,7222
Оснащення Монтаж / Гачки,3,5547442,Крючок GC Skilful №7 ст11,54,8,7152
Оснащення Монтаж / Вертлюги Застібки,1,4509348,Карабін GC американка с вертлюжком 1050BN №4 (10шт),52,2,8176
Оснащення Монтаж / Вертлюги Застібки,2,4509352,Карабін GC американка с вертлюжком 1050BN №8,52,3,7498
Оснащення Монтаж / Вертлюги Застібки,3,4509351,Карабін GC американка с вертлюжком 1050BN №7,52,3,7465
Аксесуари  / Батарейки,1,4176,Крона Videx 9v,33,171,12474
Аксесуари  / Батарейки,2,3992,Крона Rablex 9v,75,18,9260
RealFish  / Прикормка,1,2135,Прикормка  RealFish Лящ Шоколад1 кг,110,48,19350
Спінінгова ловля  / Блесна,1,BSA 14G,Блешня SPINNEX ATOM 14G асортимент,63,13,10904
Спінінгова ловля  / Блесна,2,BSB 15G,Блешня SPINNEX BAS 15G асортимент,63,43,8424
Херабуна / Гачки,1,000644,Гачки самопідсікаючи Heranunafishing на поводці 10 шт. Розмір: 7,160,17,11680
Херабуна / Гачки,2,06.45,Гачки самопідсікаючи Heranunafishing на поводці 10 шт. Розмір: 8,160,18,7400
AnviFishing / Прикормка,1,3038,"Прикорм Карась "" Халва"" 1 кг ANVI FISHING",70,3,9318
AnviFishing / Прикормка,2,3260,Прикормка Silver Короп  Тигровий Горіх \ Кукурудза 1 кг ANVI FISHING,90,9,9310
Допоміжні снасті / Сумки,1,122700,Сумка Combo для коропової та фідерної ловлі на 2 відсіки  ПрофМонтаж,2760,1,16560
Прикормка / Бойли,1,2202,Бойл Carp Catcher 10mm асорт,195,6,7800
Прикормка / Бойли,2,1224,POP-UP TRINITY BAITS 8mm 10mm 12mm 16mm асортимент,50,6,7780
Зима / Мармишка,1,2615,Мормишка #25,25,1004,14800
Прикормка / Пеллетси,1,2205,Пелетс Art Fishing методний 3мм  500гр,40,38,13616
Катушки  / Фідерні катушки,1,MF3000,Катушка Flagman Magnum Feeder 3000 (шт.),450,3,12480
Оснащення Монтаж / Головки,1,949,Джиг-головка MUSTAD   асортимент,8,263,11726
Аксесуари ,1,1359,Прес-форма пластикова з кнопкою під флет in-Line,32,26,10920
Зима / Сумки та чохли,1,2683,"Мотильниця ""Супер Снасть""",15,29,10518
Аксесуари  / Ножиці ,1,964,Ножиці Зажим,125,28,10500
Допоміжні снасті / Інструменти,1,3317,"Набір свердло,шило металевий",55,18,9920
BOUNTY / Пелетс,1,1686,BOUNTY METHOD MIX 4in1 BELACHAN,295,2,8960
Puhach / ПопАП,1,PUPOPUP041,Puhach Baits  Pop Ups 10 mm Multicolor Tiger Nut,176,7,7760
3K / Поп Ап,1,108,Бойли 3-К Baits Pop-Up 10мм (кисла груша) 20г,125,5,7230
Спінінгова ловля  / Мормишка Літня Грушка ,1,2798,Мормишка літня  #35,35,15,6930
