Полиця/категорія,#,Артикул,Назва,Ціна,Залишок,"Виручка,грн"
Оснащення Монтаж / Готові монтажі,6,3991,Монтаж Арбуз 2г 20гр на 1 відвід пластик,50,11,22860
Оснащення Монтаж / Готові монтажі,7,1485,Монтаж №10  вбивця карася,45,46,18110
Оснащення Монтаж / Готові монтажі,8,2049,Пружина Арбуз  3г,35,25,16940
Оснащення Монтаж / Готові монтажі,9,2294,Вбивця Карася,35,89,16870
Оснащення Монтаж / Готові монтажі,10,2050,Монтаж №7\1 Вбивця Карася 3 пружини + 3 гач відвід,50,5,15750
Оснащення Монтаж / Готові монтажі,11,1488,Монтаж №7 Вбивця Карася 2 пружини + 2 гач  отводи,45,6,14960
Оснащення Монтаж / Готові монтажі,12,4254,Монтаж на толстолоба Silver carp Мерседес,225,8,14050
Оснащення Монтаж / Готові монтажі,13,2045,Монтаж Арбуз чорний відвід+3 гач,35,13,13230
Оснащення Монтаж / Готові монтажі,14,2172,ELIT вбивця карася,25,12,13150
Оснащення Монтаж / Готові монтажі,15,3213,Монтаж на толстолоба Silver carp +технопанктон,190,3,13040
Оснащення Монтаж / Готові монтажі,16,3099,Монтаж на Сома 1гач,260,13,12900
Оснащення Монтаж / Готові монтажі,17,397,"Монтаж №16 ""Арбуз"" Карась 30г 4кр",50,8,11640
Оснащення Монтаж / Готові монтажі,18,394,Готовий монтаж на толстолоб Харків,45,53,11334
Оснащення Монтаж / Готові монтажі,19,3100,Монтаж на Сома 2гач,280,19,10740
Оснащення Монтаж / Готові монтажі,20,4213,Монтаж на толстолоба Silver carp 1 гач.,180,19,10180
Оснащення Монтаж / Готові монтажі,21,10750,Макушатнік 40г ремінчик 10750,50,8,9560
Оснащення Монтаж / Готові монтажі,22,3265,Оснащення Мерседес ТМ Фанатік,212,4,9274
Оснащення Монтаж / Готові монтажі,23,2781,Монтаж карповий (засос 30гр 4гач),50,15,8600
Оснащення Монтаж / Готові монтажі,24,3040,Макушатник Гітара  Короп- Карась 60гр,106,13,8435
Оснащення Монтаж / Готові монтажі,25,3054,ELIT вбивця карася #2,30,86,8100
Оснащення Монтаж / Готові монтажі,26,4161,Монтаж на толстолоба Silver carp 2,190,11,8050
Оснащення Монтаж / Готові монтажі,27,2023004,Супер Карась 20г №4 гачок №8,55,17,7450
Оснащення Монтаж / Готові монтажі,28,2099,Макушатник Ластівки Хвіст  кліпса 50г 1г.,27,48,7332
Спінінги і вудки / Коропові вудочки,1,227,"Удилище WEIDA CARP Expert 3.75ib3,60м",1160,3,99320
Спінінги і вудки / Коропові вудочки,2,1858.41.86,"Вудилище Brain Apex карпове 3,60 3,5 Lbs 3-sec",1580,3,59160
Спінінги і вудки / Коропові вудочки,3,1858.41.87,"Вудилище Brain Apex карпове 3,90 3,5 Lbs 3-sec",1650,1,40860
Спінінги і вудки / Коропові вудочки,4,3051,Спінінг APACHE NAVIGATOR 3.6  120-180g new,740,3,30010
Спінінги і вудки / Коропові вудочки,5,3209,"Удилище WEIDA CARP Expert 3.75ib3,90м",1200,4,19880
Спінінги і вудки / Коропові вудочки,6,1102,Спінінг APACHE NAVIGATOR 3.0  80-120g new,645,3,17970
Спінінги і вудки / Коропові вудочки,7,2224,"Спінінг Carp Junior 100-300g 3,6м Feima",660,5,14480
Спінінги і вудки / Коропові вудочки,8,1858.41.88,"Вудилище Brain Apex карпове 3,90 4,0 Lbs 3-sec",1780,3,13920
Спінінги і вудки / Коропові вудочки,9,1858.44.53,"Вудилище Brain Classic Carp 3,60 3.5 Lbs 3-sec",1500,1,13240
Спінінги і вудки / Коропові вудочки,10,8203-390,Вудочка  FEIMA Obsidian Carp 3.9m 3.5lb,1300,1,13000
Спінінги і вудки / Коропові вудочки,11,1098,Спінінг APACHE NAVIGATOR 3.9 80-120G GLADIATOR,730,4,11660
Спінінги і вудки / Коропові вудочки,12,1252,Вудилище теле OKUMA 3608 120-180G,320,7,10910
Спінінги і вудки / Коропові вудочки,13,1858.44.54,"Вудилище Brain Classic Carp 3,90 3.5 Lbs 3-sec",1650,1,10090
Спінінги і вудки / Коропові вудочки,14,1128-300,Спінінг APACHE NAVIGATOR 3.0  80-120g ECLIPSE,760,3,9720
Спінінги і вудки / Коропові вудочки,15,1106,Спінінг APACHE NAVIGATOR 3.9 120-180g new,815,4,9470
Спінінги і вудки / Коропові вудочки,16,1128-210,Спінінг APACHE NAVIGATOR 2.1  30-50g new,515,2,9070
Спінінги і вудки / Коропові вудочки,17,SF24273,Спінінг телескоп Gladiator 2.4m 7-28гр,1060,1,8480
Спінінги і вудки / Коропові вудочки,18,1128-240,Спінінг APACHE NAVIGATOR 2.4  50-80g new,545,4,7690
Спінінги і вудки / Коропові вудочки,19,1128-360,Спінінг APACHE NAVIGATOR 3.6  120-180g ECLIPSE,870,1,6840
Допоміжні снасті / Сигналізатори і Свінгера,1,4639,Сигналізатор клювання механічний у підставку,80,83,84560
Допоміжні снасті / Сигналізатори і Свінгера,2,2092,Набір Сигналізаторів SF23799,4130,2,67420
Допоміжні снасті / Сигналізатори і Свінгера,3,3188,Сигналізатор Carp Line TS TLI-07,260,9,61460
Допоміжні снасті / Сигналізатори і Свінгера,4,937,Дзвіночок,4,441,24122
Допоміжні снасті / Сигналізатори і Свінгера,5,2173,Свінгер з підключенням на штазі з вантажем,130,20,23830
Допоміжні снасті / Сигналізатори і Свінгера,6,2093,Набір Сигналізаторів SF23657,3260,1,22600
Допоміжні снасті / Сигналізатори і Свінгера,7,2086,Світлячок OKEAN SUN d4.5*37 5шт,12,137,21368
Допоміжні снасті / Сигналізатори і Свінгера,8,1316,Сигналізатор під світлячок,13,1,18168
Допоміжні снасті / Сигналізатори і Свінгера,9,3164,Сигналізатор Shark,250,3,17000
Допоміжні снасті / Сигналізатори і Свінгера,10,016900,"Світлячок 4,5*38мм SMS",6,146,16924
Допоміжні снасті / Сигналізатори і Свінгера,11,410,Свінгер штанга з підключенням,95,1,14050
Допоміжні снасті / Сигналізатори і Свінгера,12,3331,Набір Сигналізаторів JY-39,3110,1,9330
Допоміжні снасті / Сигналізатори і Свінгера,13,2777,Набір Свінгерів Megastrike ланцюг,790,5,8250
Допоміжні снасті / Сигналізатори і Свінгера,14,1914,Свінгер FEIMA на ланцюгу  SW2600,95,4,7060
Волосінь Шнури Повіці / Ліска,1,87,Волосінь Carp Expert Muiticolor 0.35mm 150m,125,24,23620
Волосінь Шнури Повіці / Ліска,2,86,Волосінь Carp Expert Muiticolor 0.30mm 150m,110,48,22980
Волосінь Шнури Повіці / Ліска,3,2911,Волосінь CARP EXPERT UV FLUO YELLOW 0.28mm 1000m,420,1,15670
Волосінь Шнури Повіці / Ліска,4,2983,Волосінь CARP EXPERT UV FLUO ORANG 0.35mm 300м,220,9,13800
Волосінь Шнури Повіці / Ліска,5,89,Волосінь CARP EXPERT BOILIE SPECIAL 0.30mm 1000m,445,2,12660
Волосінь Шнури Повіці / Ліска,6,3024-30,Волосінь Magigian 3D Afeima  150m 0.30mm,90,7,12200
Волосінь Шнури Повіці / Ліска,7,95,Волосінь CARP EXPERT UV FLUO YELLOW 0.30mm 1000m,445,4,11640
Волосінь Шнури Повіці / Ліска,8,1652,Волосінь Carp Expert Muiticolor 0.25mm 150m,97,11,11145
Волосінь Шнури Повіці / Ліска,9,2910,Волосінь CARP EXPERT UV FLUO ORANG  0.28мм 1000м,420,2,10950
Волосінь Шнури Повіці / Ліска,10,30114830,Волосінь CARP EXPERT UV FLUO ORANG  0.30мм 1000м,450,7,10700
Волосінь Шнури Повіці / Ліска,11,ZJ-INP022А,"Волосінь JAXON INTENSA PREMIUM 0,22mm 150m",160,2,10030
Волосінь Шнури Повіці / Ліска,12,30114832,Волосінь CARP EXPERT UV FLUO ORANG  0.32мм 1000м,470,4,9430
Волосінь Шнури Повіці / Ліска,13,ZJ-INP012C,"Волосінь JAXON INTENSA PREMIUM 0,12mm 25m",67,10,9194
Волосінь Шнури Повіці / Ліска,14,ZJ-INP020C,"Волосінь JAXON INTENSA PREMIUM 0,20mm 25m",67,10,8832
Волосінь Шнури Повіці / Ліска,15,ZJ-INP016C,"Волосінь JAXON INTENSA PREMIUM 0,16mm 25m",67,16,8087
Волосінь Шнури Повіці / Ліска,16,90,Волосінь CARP EXPERT BOILIE SPECIAL 0.32mm 1000m,480,1,7900
Волосінь Шнури Повіці / Ліска,17,2982,Волосінь CARP EXPERT UV FLUO ORANG 0.30mm 300м,205,13,7815
Волосінь Шнури Повіці / Ліска,18,ZJ-INP027А,"Волосінь JAXON INTENSA PREMIUM 0,27mm 150m",170,9,7810
Волосінь Шнури Повіці / Ліска,19,30125030,Волосінь CARP EXPERT BOILIE SPECIAL 0.30mm 300m,220,6,7510
Волосінь Шнури Повіці / Ліска,20,91,Волосінь CARP EXPERT BOILIE SPECIAL 0.35mm 1000m,515,1,7470
Волосінь Шнури Повіці / Ліска,21,30114835,Волосінь CARP EXPERT UV FLUO ORANG  0.35мм 1000м,485,4,7280
Волосінь Шнури Повіці / Ліска,22,ZJ-INP014C,"Волосінь JAXON INTENSA PREMIUM 0,14mm 25m",67,6,7232
Волосінь Шнури Повіці / Ліска,23,96,Волосінь CARP EXPERT UV FLUO YELLOW 0.32mm 1000m,465,2,6990
Волосінь Шнури Повіці / Ліска,24,ZJ-INP025А,"Волосінь JAXON INTENSA PREMIUM 0,25mm 150m",170,4,6970
