#,Артикул,Назва,Категорія,Ціна,Залишок,"Продано,шт","Виручка,грн"
1,1905,Хробак,Хробак Опариш,35,34,33771,938981
2,1906,Опариш,Хробак Опариш,20,170,41986,629482
3,1909,Шайба Макух,Прикормка / Пінотісто Макуха Планктон / Макуха ,12,81,17795,174958
4,2593,Мотиль,Хробак Опариш,35,7,5768,172940
5,1497,Монтаж Арбуз відві 2 гач 20г,Оснащення Монтаж / Готові монтажі,55,130,2624,122100
6,227,"Удилище WEIDA CARP Expert 3.75ib3,60м",Спінінги і вудки / Коропові вудочки,1160,3,84,99320
7,1302,Котушка HAIBAO FISHING J3-50FR (9+1 BB) з бейтранером,Катушки  / Карпові катушки,930,5,114,97220
8,2015,"Технопанктон CORONA флуоро""Чудо планктон"" Топлене Молоко",Прикормка / Пінотісто Макуха Планктон / Технопанктон ,50,120,1839,86146
9,605,"Тісто Cukk""puffi""midi 3-6мм 30гр Часник",Прикормка / Пінотісто Макуха Планктон / Пінотісто ,80,76,1141,84760
10,4639,Сигналізатор клювання механічний у підставку,Допоміжні снасті / Сигналізатори і Свінгера,80,83,1057,84560
11,3165,Денробена,Хробак Опариш,52,55,1919,82018
12,2092,Набір Сигналізаторів SF23799,Допоміжні снасті / Сигналізатори і Свінгера,4130,2,18,67420
13,3188,Сигналізатор Carp Line TS TLI-07,Допоміжні снасті / Сигналізатори і Свінгера,260,9,250,61460
14,0199,"Прикорм ""БОМБА"" 1кг",Прикормка / Прикормка,42,130,1648,61156
15,1303,Котушка HAIBAO FISHING J3-60FR (9+1 BB) з бейтранером,Катушки  / Карпові катушки,940,4,66,59700
16,1858.41.86,"Вудилище Brain Apex карпове 3,60 3,5 Lbs 3-sec",Спінінги і вудки / Коропові вудочки,1580,3,40,59160
17,2209,Монтаж на толстолоба Silver carp донна,Оснащення Монтаж / Готові монтажі,180,22,433,58635
18,3041,Катушка  Weida DJ40A 3+1,Катушки  / Карпові катушки / Weida,670,2,90,55630
19,1483,Макушатнік Шар 30г,Оснащення Монтаж / Готові монтажі,55,105,1262,54650
20,1502,Монтаж на вудку Риболов,Оснащення Монтаж / Готові монтажі,45,15,1621,53440
21,2698,Льодоруб Житомирский,Зима / Льодобур,1650,1,34,50740
22,267,Підставка під вудочку  алюм,Допоміжні снасті / Підставки Рогачі Род-Поди / Підставка Триноги,48,11,1024,48702
23,604,"Тісто Cukk""puffi""midi 3-6мм 30гр Мед",Прикормка / Пінотісто Макуха Планктон / Пінотісто ,80,53,652,48460
24,2895,Катушка  Weida DJ30A 3+1,Катушки  / Карпові катушки / Weida,650,4,80,48370
25,1991,"Підставка під вудочку 0,85м помаранчеві",Допоміжні снасті / Підставки Рогачі Род-Поди / Підставка Триноги,36,14,1116,45424
26,2107,"Підставка під вудочку бур 1,2 нержавійка",Допоміжні снасті / Підставки Рогачі Род-Поди / Підставка Триноги,110,10,460,45110
27,3063,"Технопанктон CORONA флуоро""Чудо планктон""Очерет",Прикормка / Пінотісто Макуха Планктон / Технопанктон ,50,155,912,43342
28,1858.41.87,"Вудилище Brain Apex карпове 3,90 3,5 Lbs 3-sec",Спінінги і вудки / Коропові вудочки,1650,1,26,40860
29,606,"Тісто Cukk""puffi""midi 6-10мм 30гр Часник",Прикормка / Пінотісто Макуха Планктон / Пінотісто ,80,100,522,38550
30,00.10,Глютен Herabunafishing,Херабуна / Тісто,70,56,648,38520
31,2688,Жерлиця Профмонтаж  оснащена,Зима / Зимові вудки,75,86,540,36320
32,2110123,"Крісло ""Режисер з полицею "" d25mm",Допоміжні снасті / Стільці,2340,3,20,36130
33,276,Катушка WEIDA BJ6000A,Катушки  / Карпові катушки / Weida,990,5,38,35150
34,3753,Монтаж  на вудочку з поплавком на 2 гачка,Оснащення Монтаж / Готові монтажі,40,40,860,31940
35,GL17-30,Грушка латунь,Спінінгова ловля  / Тел-спіннер,50,105,738,31726
36,PRF-CHASNYKM,Прикормка Fanatik Макуха Часник,Fanatik / Прикормка,58,34,669,31560
37,3043,Макуха ПрофМонтаж 8 куб. асорт,AnviFishing / Макуха,50,49,762,30668
38,2010043,"Стілець"" Рибак Економ "" d25 мм",Допоміжні снасті / Стільці,615,1,61,30500
39,K-3046,Катушка FEIMA MD 4000,Катушки  / Карпові катушки / Feima,725,7,42,30390
40,1536,Ліхтарик налобний Strong Light сенсорний USB зарядка,Туризм і відпочинок / Ліхтарі,540,6,70,30320
41,3051,Спінінг APACHE NAVIGATOR 3.6  120-180g new,Спінінги і вудки / Коропові вудочки,740,3,44,30010
42,2893,Катушка  Weida DJ10A 3+1,Катушки  / Карпові катушки / Weida,600,4,56,29620
43,67,Прикорм Крилевая мука 100г Antarctic Kril Meal 1ящ=70шт,INTERKRIL / Прикормка,78,10,470,29044
44,2785,"Садок з ручками на застібці прогум. сітка  1,500см",Допоміжні снасті / Садки ,500,4,62,29000
45,3189,"Крісло ECLIPSE EC-20G складне,з підстакан.",Допоміжні снасті / Стільці,720,1,40,28740
46,275,Катушка WEIDA BJ5000A,Катушки  / Карпові катушки / Weida,940,5,32,28630
47,1958,Горох Варений,Хробак Опариш,15,16,2616,28580
