wave,name_ua,alias,type,filter_action,product_count,unique_values,top_values,top_categories
1_filter_critical,Матеріал бланка,materialBlanka,Вибір зі списку,увімкнути як фільтр,741,44,Carbon (351) | Карбон (164) | карбон (66) | Композитний (23) | скловолокно (18) | Графіт (15) | Вуглецеве волокно (12) | вуглецеве волокно (11),Вудилища / Коропові (250) | Вудилища / Спінінгові (200) | Вудилища / Махові (119) | Зимова ловля / вудилища (65) | Вудилища / Запчастини та аксесуари для вудок (47)
1_filter_critical,Сегмент,segment,Вибір зі списку,увімкнути як фільтр,304,3,Різне (125) | Риболовна фурнітура (111) | Риболовні аксесуари (68),Все для монтажу / Інше для оснащення (89) | Готові монтажі / оранж (71) | Сигналізатори клювання / механічні (67) | Херабуна / готові оснастки (38) | Туризм / посуд (25)
1_filter_critical,Вид,vyd,Вибір зі списку,увімкнути як фільтр,190,4,Класичний (152) | Херабуна (36) | Короп (1) | Мотиль (1),Херабуна / поплавки (188) | Готові монтажі / оранж (1) | Приманки / воблери (1)
1_filter_critical,Комплектація,komplektatsiya,Вибір зі списку,увімкнути як фільтр,144,17,Готова оснастка (120) | Набір інструментів (9) | 3 (1) | 4 предмети (1) | 5 предмети (1) | Шило та свердло (1) | 10 шт (1) | 5 (1),"Готові монтажі / інші (121) | PVA матеріали та аксесуари / Інструменти (13) | Відра, сумки та органайзери / коробки органайзери (6) | Все для монтажу / Інше для оснащення (1) | Все для монтажу / грузила / спінінгові (1)"
3_filter_niche,Конструкція,konstruktsiya,Вибір зі списку,увімкнути як фільтр,76,7,М'яка (46) | Телескопічна / складна (18) | Жорстка (7) | Телескопічна (2) | Складна (1) | П'ятикутна цільна голова (1) | Автоматична (1),"Чохли / всі (53) | Підсаки, Садки, кукани / Підсаки (20) | Підсаки, Садки, кукани / ручки та голови до підсака (2) | Туризм / посуд (1)"
3_filter_niche,Форма грузила,formaHruzyla,Вибір зі списку,увімкнути як фільтр,74,9,Вухань (26) | Дроп-шот (19) | Банан (11) | Дробинка (6) | Куля (3) | Голова риби (3) | Пуля (3) | Ромб (2),Все для монтажу / грузила / спінінгові (68) | Готові монтажі / інші (6)
3_filter_niche,Аромат/варіант,aromatVariant,Вибір зі списку,увімкнути як фільтр,40,40,RealFish Горох (1) | RealFish Кисла Груша (1) | RealFish Кріль (1) | RealFish Полуниця (1) | RealFish Слива (1) | RealFish Солодка Кукурудза (1) | RealFish Часник (1) | RealFish Чебрець - Часник (1),Херабуна / тісто (18) | Прикормка / Макуха (9) | Прикормка / Real Fish (8) | Прикормка / Технопланктон (5)
3_filter_niche,Вид монтажу,vydMontazhu,Вибір зі списку,увімкнути як фільтр,36,4,Вбивця карася (23) | На товстолоба (10) | Фідерний (2) | Фідер.пуля (1),Готові монтажі / інші (36)
3_filter_niche,Джерело живлення,dzhereloZhyvlennya,Вибір зі списку,увімкнути як фільтр,24,1,Батарейки (24),Туризм / ліхтарі (24)
